월,제품,고급휘발유,보통휘발유,실내등유,선박용경유,자동차용경유,벙커C유,용제,아스팔트
21년 01월,"1,540.72","1,338.69",623.76,"1,050.63","1,130.46",515.50,498.37,477.69
02월,"1,574.62","1,379.49",654.04,"1,091.98","1,177.25",579.39,551.19,514.37
03월,"1,636.82","1,441.07",667.23,"1,155.47","1,225.24",647.78,600.55,559.79
04월,"1,638.93","1,437.88",653.88,"1,188.77","1,214.26",687.13,670.09,588.29
05월,"1,668.06","1,473.49",689.43,"1,165.82","1,251.57",646.84,615.02,568.12
06월,"1,706.80","1,512.49",716.41,"1,205.14","1,296.12",655.23,639.12,586.12
07월,"1,748.32","1,555.22",732.25,"1,244.01","1,327.14",688.36,683.99,616.07
08월,"1,742.76","1,537.45",720.65,"1,260.77","1,310.16",706.09,770.21,632.30
09월,"1,756.40","1,561.58",773.42,"1,246.32","1,346.74",733.19,691.28,617.06
10월,"1,850.78","1,670.43",900.22,"1,285.93","1,460.36",769.32,742.08,669.16
11월,"1,807.96","1,588.77",887.46,"1,333.06","1,390.25",823.32,830.59,706.15
12월,"1,442.84","1,281.36",529.78,"1,072.80","1,044.97",436.32,460.50,276.28
16년 01월,"1,419.11","1,255.05",452.21,"1,000.20",960.72,366.32,444.13,273.19
02월,"1,383.80","1,216.26",469.12,926.39,971.11,371.16,385.61,262.03
03월,"1,420.46","1,261.14",512.23,942.08,"1,020.81",408.79,357.91,263.95
04월,"1,423.16","1,267.18",508.77,"1,001.40","1,027.50",400.35,396.78,271.60
05월,"1,467.31","1,314.70",562.74,"1,002.97","1,089.26",433.63,408.98,267.39
06월,"1,487.67","1,334.48",589.04,"1,063.18","1,126.42",471.74,432.91,280.86
07월,"1,444.06","1,278.41",548.63,"1,097.21","1,087.93",472.09,449.47,307.84
08월,"1,446.72","1,275.16",537.26,"1,059.96","1,066.78",439.93,411.35,293.07
09월,"1,467.74","1,302.25",547.16,"1,031.93","1,073.19",436.43,387.35,262.27
10월,"1,509.37","1,342.86",599.13,"1,045.75","1,119.21",487.09,403.10,303.97
11월,"1,486.80","1,321.11",589.64,"1,096.07","1,106.49",500.27,445.45,339.79
12월,"1,540.06","1,381.58",648.09,"1,088.13","1,156.90",551.30,448.72,329.04
17년 01월,"1,577.54","1,412.27",669.75,"1,137.54","1,188.97",601.74,500.26,410.44
02월,"1,555.10","1,397.18",651.78,"1,173.25","1,177.90",566.40,531.43,427.21
03월,"1,514.62","1,358.64",615.21,"1,162.61","1,145.00",577.40,516.86,430.32
04월,"1,547.38","1,376.25",620.71,"1,132.44","1,156.11",567.06,474.39,416.27
05월,"1,500.77","1,342.29",592.75,"1,132.48","1,120.63",551.97,486.85,414.59
06월,"1,495.16","1,325.84",568.28,"1,131.00","1,099.51",557.74,447.54,392.23
07월,"1,491.59","1,332.62",590.26,"1,085.76","1,125.53",503.79,423.25,380.40
08월,"1,535.71","1,372.99",616.04,"1,094.90","1,147.98",532.84,437.23,386.30
09월,"1,562.73","1,399.90",652.20,"1,135.87","1,172.93",569.29,471.25,392.59
10월,"1,545.14","1,391.37",659.15,"1,151.56","1,179.65",580.80,511.94,402.55
11월,"1,592.26","1,429.88",703.49,"1,166.77","1,210.83",594.33,526.14,412.98
12월,"1,586.05","1,428.00",702.04,"1,186.91","1,216.90",576.53,574.72,404.61
18년 01월,"1,600.05","1,445.02",730.58,"1,189.50","1,247.57",575.31,569.82,430.87
02월,"1,583.67","1,428.98",735.75,"1,218.83","1,237.93",603.59,564.75,428.53
03월,"1,581.58","1,425.23",721.39,"1,211.45","1,227.63",561.61,540.44,427.67
04월,"1,612.15","1,451.93",752.30,"1,200.64","1,260.01",620.69,545.07,430.80
05월,"1,663.15","1,504.59",796.31,"1,240.55","1,309.26",660.94,570.27,459.54
06월,"1,656.85","1,494.02",775.75,"1,287.90","1,298.12",697.14,610.60,521.11
07월,"1,668.38","1,514.15",801.09,"1,283.29","1,318.80",709.25,613.76,554.49
08월,"1,694.79","1,527.80",803.72,"1,295.10","1,327.18",719.20,620.71,586.27
09월,"1,719.62","1,560.83",844.34,"1,311.53","1,368.91",719.65,632.73,576.10
10월,"1,734.69","1,566.76",878.22,"1,347.20","1,397.76",762.48,667.54,598.19
11월,"1,512.69","1,338.21",796.00,"1,308.27","1,231.53",727.16,667.83,648.23
12월,"1,906.09","1,775.58","1,133.47","1,585.77","1,619.10",915.76,833.36,715.31
13년 01월,"1,925.87","1,800.93","1,158.17","1,586.41","1,626.71",910.93,837.39,713.94
02월,"2,001.52","1,878.01","1,204.45","1,577.30","1,675.94",934.74,842.51,735.32
03월,"1,968.60","1,840.06","1,139.08","1,644.84","1,625.98",963.48,889.01,769.01
04월,"1,908.71","1,774.56","1,088.38","1,607.50","1,579.27",951.31,836.80,759.01
